bundesland,faelle,tod,lat,long,datum
Baden-Württemberg,65,0,48.5,9.0,2020-03-05
Bayern,52,0,48.9,11.4,2020-03-05
Berlin,9,0,53.4,13.2,2020-03-05
Brandenburg,1,0,52.4,13.0,2020-03-05
Bremen,3,0,53.1,8.8,2020-03-05
Hamburg,3,0,53.5,10.0,2020-03-05
Hessen,14,0,50.7,9.0,2020-03-05
Mecklenburg-Vorpommern,4,0,53.8,12.5,2020-03-05
Niedersachsen,10,0,53.87,9.5,2020-03-05
Nordrhein-Westfalen,175,0,51.6,7.5,2020-03-05
Rheinland-Pfalz,7,0,50.0,7.3,2020-03-05
Saarland,1,0,49.4,6.97,2020-03-05
Sachsen,1,0,51.05,13.5,2020-03-05
Schleswig Holstein,3,0,54.2,9.9,2020-03-05
Thüringen,1,0,50.85,11.13,2020-03-05
Gesamt,349,0,51.06,10.0,2020-03-05
