Region	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
Germany	Retail & recreation	22.0	17.0	17.5	19.0	18.0	17.0	14.0	15.0	17.0	14.0	11.0	9.0	18.0	14.0	24.5	17.5	15.0	17.0	10.0	11.0	16.5	28.5	15.0	6.5	13.5	7.0	4.0	-5.0	0.0	6.0	-8.5	-25.0	-37.0	-45.0	-64.0	-70.0	-55.5	-55.5	-55.0	-55.5	-55.0	-62.5	-75.5
Germany	Grocery & pharmacy	25.5	17.5	17.5	16.0	14.5	17.0	15.0	26.5	10.5	14.5	15.5	19.0	28.0	22.5	36.0	26.5	21.5	18.5	16.0	16.0	16.5	36.5	19.5	14.0	18.0	23.5	37.5	27.0	31.0	41.0	30.0	21.5	13.0	12.5	-10.0	-25.5	-6.5	-6.0	-6.0	-4.0	-2.0	-9.0	-40.5
Germany	Parks	26.0	24.0	26.0	22.5	31.0	33.5	39.5	-7.0	34.0	32.0	15.0	11.5	25.0	26.5	39.5	27.0	25.0	30.5	15.0	4.0	35.0	50.0	24.5	1.5	33.0	20.0	13.5	54.5	98.0	65.5	53.0	66.0	36.5	1.0	-19.0	13.0	9.5	24.0	28.0	20.0	36.0	52.0	-32.0
Germany	Transit stations	22.0	17.0	16.5	15.0	19.0	14.5	25.0	17.5	9.0	9.5	7.5	10.0	13.0	17.0	20.5	14.5	11.5	11.5	9.5	7.0	13.0	17.0	10.0	6.0	8.0	5.0	-1.5	-6.0	-4.0	-12.5	-24.5	-30.0	-38.0	-45.0	-53.5	-53.5	-51.5	-51.5	-51.5	-52.0	-51.5	-49.0	-62.5
Germany	Workplace	14.0	13.0	14.0	13.5	10.0	6.0	12.0	10.5	-7.5	0.5	9.0	10.0	10.0	14.0	16.0	15.5	15.0	15.0	15.0	13.5	15.5	16.0	14.0	14.0	14.0	12.5	10.0	11.0	9.0	-3.5	-13.5	-19.0	-24.0	-27.5	-22.0	-25.0	-32.5	-35.0	-36.0	-37.0	-37.0	-27.0	-30.0
Germany	Residential	15.5	16.0	17.0	16.5	16.5	17.5	16.0	16.0	20.0	20.0	18.0	18.0	17.5	16.5	16.0	16.0	17.0	17.0	17.0	18.0	16.5	15.5	16.5	19.0	17.5	18.0	20.0	20.0	19.0	22.0	27.0	29.0	31.5	34.0	32.0	28.0	34.0	37.0	37.0	37.0	38.0	31.5	29.0
Baden—Wﬂrttemberg	Retail & recreation	18.5	0.0	2.5	1.5	5.0	0.5	1.5	8.0	9.0	-2.0	-6.0	-10.0	-1.0	-5.5	7.5	0.0	-1.5	-1.0	-10.0	-8.0	-1.0	15.0	1.0	-9.5	-3.5	-9.0	-10.0	-21.0	-9.0	-8.0	-23.5	-34.5	-45.5	-50.0	-71.5	-74.0	-59.0	-59.5	-60.0	-61.0	-60.0	-65.0	-77.0
Baden—Wﬂrttemberg	Grocery & pharmacy	30.0	-1.0	1.5	-1.0	-0.5	0.0	5.0	29.0	-3.0	-6.0	-3.0	-1.5	8.0	3.5	17.0	7.0	4.0	0.0	-3.5	-1.0	1.5	23.0	1.5	-3.0	1.5	5.5	19.0	7.0	21.0	21.0	9.5	3.0	-4.0	-3.5	-28.5	-31.5	-19.5	-20.5	-22.0	-20.0	-17.0	-24.5	-46.5
Baden—Wﬂrttemberg	Parks	45.5	-8.0	12.0	4.0	16.5	19.5	46.5	10.0	38.0	14.5	-10.0	-20.5	6.0	5.5	33.5	-0.5	8.5	7.5	-23.5	-20.0	10.0	47.0	5.0	-16.5	16.0	-6.0	6.5	14.0	100.5	54.5	36.0	51.0	27.0	3.0	-57.0	-15.0	-10.0	2.5	1.0	-11.5	9.0	31.0	-42.5
Baden—Wﬂrttemberg	Transit stations	16.0	0.0	0.5	-1.5	3.0	-1.5	14.0	9.0	-7.5	-13.0	-17.5	-18.0	-11.0	-4.0	4.5	-3.0	-5.0	-5.5	-10.5	-9.5	-6.0	3.5	-4.5	-11.0	-8.0	-12.0	-14.0	-24.0	-12.5	-19.5	-36.5	-41.0	-46.5	-50.5	-65.0	-61.0	-58.0	-58.0	-58.5	-59.5	-58.0	-54.5	-68.0
Baden—Wﬂrttemberg	Workplace	0.0	-1.0	-0.5	-2.0	-6.0	-10.5	-2.5	-4.0	-25.0	-23.0	-18.0	-17.0	-15.0	-4.0	-1.5	-1.5	-1.0	-2.0	-2.0	-3.0	-0.5	0.0	-2.5	-3.0	-3.0	-4.0	-6.0	-5.0	-8.0	-13.5	-27.0	-31.0	-35.0	-37.0	-34.0	-39.0	-42.0	-43.0	-44.5	-45.0	-45.0	-36.5	-42.0
Baden—Wﬂrttemberg	Residential	-1.5	0.0	0.0	0.0	0.0	1.0	-1.5	-1.0	3.5	4.5	3.5	4.0	2.5	0.0	-0.5	0.0	1.0	1.0	2.0	2.0	1.0	-1.0	1.0	2.5	1.5	2.5	3.0	4.0	2.0	5.0	11.0	11.5	14.0	15.5	15.0	11.0	16.5	18.5	18.5	19.0	19.0	13.0	11.0
Bavaﬂa	Retail & recreation	11.0	0.0	2.0	0.0	2.0	0.5	2.5	6.0	7.0	1.0	-4.5	-5.0	-5.0	-2.5	9.5	1.0	-3.0	-3.0	-6.5	-7.0	-2.0	17.5	-2.5	-9.0	-5.0	-7.0	-13.0	-19.0	-5.0	-4.5	-23.0	-40.0	-48.0	-49.0	-81.5	-82.0	-69.0	-67.5	-68.5	-69.0	-69.0	-73.5	-79.0
Bavaﬂa	Grocery & pharmacy	23.0	1.0	1.0	-2.0	0.0	0.5	7.5	30.0	-1.0	-5.5	-4.0	0.0	3.5	5.5	23.5	8.5	3.5	1.0	-1.0	0.0	4.0	34.0	3.0	-3.0	2.0	5.5	20.0	8.5	28.5	23.0	6.0	-2.5	-6.5	1.5	-39.5	-47.5	-23.0	-24.0	-24.0	-22.0	-18.0	-23.5	-46.5
Bavaﬂa	Parks	26.5	11.0	18.5	1.5	10.5	16.5	40.0	3.0	23.0	29.5	-3.0	-9.0	-4.5	4.0	25.5	9.5	4.0	4.5	-14.0	-14.5	-6.0	40.0	0.0	-13.5	9.0	4.0	-3.0	5.5	67.5	40.5	11.0	36.5	15.5	-3.5	-65.0	-41.5	-25.0	-11.5	-19.5	-32.0	-8.0	2.5	-43.0
Bavaﬂa	Transit stations	9.5	0.5	0.0	-1.0	1.0	1.5	9.0	4.0	-13.0	-13.5	-14.0	-14.0	-10.5	0.5	4.5	-3.5	-7.0	-6.0	-9.0	-9.0	-7.0	2.5	-9.5	-13.0	-10.5	-13.0	-17.0	-23.5	-16.0	-29.5	-40.0	-43.5	-49.0	-52.0	-72.0	-72.0	-64.0	-63.0	-63.0	-64.5	-63.0	-62.0	-71.5
Bavaﬂa	Workplace	0.0	-0.5	0.0	-1.0	-2.0	-3.0	-1.0	-4.5	-24.0	-25.5	-17.5	-16.5	-15.0	-3.0	0.0	0.0	-0.5	-1.0	-1.0	-2.0	-0.5	0.5	-2.0	-2.0	-3.0	-4.0	-5.0	-5.0	-4.0	-19.5	-26.0	-31.0	-34.5	-36.5	-40.0	-43.0	-43.0	-45.0	-46.0	-47.0	-47.0	-39.5	-42.5
